Symbol,Price,1h % change,24h % change,Volume (24h)
BATUSDT,0.21920000,0.550,0.550,909955.96310000
XMRBNB,0.00000000,0.000,0.000,0.00000000
XMRUSDT,0.00000000,0.000,0.000,0.00000000
ZECBNB,0.00000000,0.000,0.000,0.00000000
ZECUSDT,23.60000000,0.640,0.640,1413627.72875000
ZECPAX,0.00000000,0.000,0.000,0.00000000
ZECTUSD,0.00000000,0.000,0.000,0.00000000
ZECUSDC,0.00000000,0.000,0.000,0.00000000
IOSTUSDT,0.00766000,-1.034,-1.034,975691.90983000
CELRBNB,0.00000000,0.000,0.000,0.00000000
CELRBTC,0.00000030,0.000,0.000,0.52612943
CELRUSDT,0.02065000,-1.760,-1.760,864251.38063500
ADAPAX,0.00000000,0.000,0.000,0.00000000
ADAUSDC,0.44330000,0.934,0.934,4557866.40247000
NEOPAX,0.00000000,0.000,0.000,0.00000000
NEOUSDC,13.33000000,0.000,0.000,7343.84090000
DASHBNB,0.00000000,0.000,0.000,0.00000000
DASHUSDT,26.29000000,-0.152,-0.152,1580802.04828000
NANOUSDT,0.00000000,0.000,0.000,0.00000000
OMGBNB,0.00000000,0.000,0.000,0.00000000
OMGUSDT,0.45000000,0.000,0.000,1531725.44040000
THETAUSDT,1.91500000,-1.593,-1.593,4802466.69640000
ENJUSDT,0.24920000,-2.351,-2.351,2087558.56005000
MITHUSDT,0.00000000,0.000,0.000,0.00000000
MATICBNB,0.00099500,4.298,4.298,64.63785910
MATICBTC,0.00000928,-0.855,-0.855,12.60899685
MATICUSDT,0.64270000,-1.093,-1.093,16504684.30080000
ATOMBNB,0.01205000,4.601,4.601,26.71168500
ATOMBTC,0.00011220,-0.444,-0.444,5.30279953
ATOMUSDT,7.78100000,-0.689,-0.689,10079007.63100000
